Year,Site,Habitat,Transect,Taxa,X,Y,Z,Length,Width,Height,Recruitment,Mortality,Fusion,Fission,Observer,Note
2013,LTER1,BR,P1,Acr,0.05,7,55,8,2.6,7.3,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,0.75,65,10,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,0.9,60,10,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,0.95,45,10,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,1,100,10,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,1,33,30,2.7,2,2.1,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,1.02,32,29,0.5,0.4,0.4,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,1.05,75,25,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,1.15,98,4,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,1.6,46,18,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,1.6,60,50,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,1.7,10,13,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,1.7,30,0,29.4,13.6,23.7,0,0,0,0,MK,Lo
2013,LTER1,BR,P1,Poc,1.73,35,18,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,1.73,50,50,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,1.95,97,46,3,3,3.3,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,2,49,13,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,2.1,80,50,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,2.1,95,20,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Por,2.3,73,10,52.4,37.8,28,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,2.5,60,20,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,2.6,62,100,26.3,18.1,12,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,2.95,71,61,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,3,87,60,2.5,1.9,2.2,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,3.17,37,73,3,1.6,1.8,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,3.18,50,81,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,3.18,94,73,5.9,5.2,5.3,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,3.2,19,68,2.4,1,2.3,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,3.22,51,83,7.1,6.2,6.5,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,3.29,97,76,1.5,0.9,1.8,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,3.7,50,20,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,3.75,53,63,27,13.2,25.3,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,3.87,66,35,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,4,95,24,3.2,2,2.8,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,4.14,21,53,0.9,0.8,0.6,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,4.15,20,53,2.4,2,1.6,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,4.15,37,28,6.9,4.9,3.8,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Acr,4.15,50,53,30.5,26.2,4.5,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,4.15,65,33,14.1,9.6,11.6,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,4.3,58,43,11.3,9.2,11.4,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,5.1,68,65,7.5,5.6,6,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,5.35,72,75,7.3,5.8,5.6,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,5.4,69,51,1.5,0.8,1.9,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,5.47,68,45,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,5.7,45,57,3,2.3,1.8,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,5.95,33,23,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,6.15,94,30,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,6.22,100,32,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,6.4,58,6,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Por,6.53,24,13,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,6.98,62,57,1.8,1.5,0.8,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,7,61,57,2.8,2.6,1.1,1,0,0,0,MK,R
2013,LTER1,BR,P1,Acr,7.05,91,23,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,7.2,28,47,15.2,15.2,15.1,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Acr,7.25,28,25,8.5,8.1,8.5,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Acr,7.3,50,30,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,7.3,77,20,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,7.34,77,16,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,7.94,71,3,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Acr,7.97,73,0,5.1,4.9,4.4,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,8.75,93,3,1.6,0.6,1,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,8.75,97,45,2.8,2.3,1.9,1,0,0,0,MK,R
2013,LTER1,BR,P1,Poc,8.77,98,54,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,8.95,92,58,3.9,3,4,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,9,25,20,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P1,Poc,9,39,69,3.5,2.2,3.9,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Acr,9.3,53,15,6.6,5.8,5.3,0,0,0,0,MK,Bi
2013,LTER1,BR,P1,Poc,9.65,15,56,NA,NA,NA,0,0,0,0,MK,NA
2013,LTER1,BR,P1,Poc,9.9,96,40,3.7,1.6,2.7,0,0,0,0,MK,NA
2013,LTER1,BR,P10,Por,0.1,90,30,NA,NA,NA,0,0,0,0,NA,NA
2013,LTER1,BR,P10,Por,0.4,58,0,37,42,54,0,0,0,0,HA,NA
2013,LTER1,BR,P10,Acr,2.84,22,22,23,15,9,0,0,0,0,HA,NA
2013,LTER1,BR,P10,Acr,6.5,98,20,NA,NA,NA,0,0,0,0,NA,NA
