coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
1,LTER1,BR,P1,Acr,0.05,7,55,2013,8,2.6,7.3,MK,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2014,NA,NA,NA,MK,D,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2015,NA,NA,NA,MK,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2016,NA,NA,NA,MK,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2017,NA,NA,NA,EW,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2018,NA,NA,NA,HSL,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2019,NA,NA,NA,EW,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2020,NA,NA,NA,NA,NA,NA
1,LTER1,BR,P1,Acr,0.05,7,55,2021,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2013,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2014,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2015,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2016,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2017,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2018,2,2.2,1.7,HSL,NA,R
2,LTER1,BR,P1,Poc,0.75,65,10,2019,NA,NA,NA,EW,D,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2020,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,2021,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2013,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2014,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2015,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2016,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2017,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2018,1,1.5,1,HSL,NA,R
3,LTER1,BR,P1,Poc,0.9,60,10,2019,NA,NA,NA,EW,D,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2020,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,2021,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2013,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2014,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2015,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2016,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2017,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2018,4.5,4,3.5,HSL,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2019,NA,NA,NA,EW,D,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2020,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,2021,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2013,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2014,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2015,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2016,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2017,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2018,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2019,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2020,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,2021,2,1.5,1.5,HSL,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2013,NA,NA,NA,MK,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2014,NA,NA,NA,MK,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2015,NA,NA,NA,MK,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2016,2,1.1,1.1,MK,R,NA
6,LTER1,BR,P1,Poc,1,100,10,2017,2.5,2.3,2,EW,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2018,NA,NA,NA,HSL,D,D
6,LTER1,BR,P1,Poc,1,100,10,2019,NA,NA,NA,EW,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2020,NA,NA,NA,NA,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,2021,NA,NA,NA,NA,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2013,2.7,2,2.1,MK,R,NA
7,LTER1,BR,P1,Poc,1,33,30,2014,3,3.2,2.9,MK,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2015,NA,NA,NA,MK,D,NA
7,LTER1,BR,P1,Poc,1,33,30,2016,NA,NA,NA,MK,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2017,NA,NA,NA,EW,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2018,NA,NA,NA,HSL,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2019,NA,NA,NA,EW,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2020,NA,NA,NA,NA,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2021,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2013,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2014,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2015,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2016,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2017,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2018,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2019,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2020,3,2,2,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,2021,NA,NA,NA,HSL,D,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2013,0.5,0.4,0.4,MK,R,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2014,NA,NA,NA,MK,D,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2015,NA,NA,NA,MK,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2016,NA,NA,NA,MK,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2017,NA,NA,NA,EW,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2018,NA,NA,NA,HSL,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2019,NA,NA,NA,EW,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2020,NA,NA,NA,NA,NA,NA
9,LTER1,BR,P1,Poc,1.02,32,29,2021,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2013,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2014,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2015,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2016,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2017,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2018,2.5,2,2,HSL,NA,R
10,LTER1,BR,P1,Poc,1.05,75,25,2019,NA,NA,NA,EW,D,NA
10,LTER1,BR,P1,Poc,1.05,75,25,2020,NA,NA,NA,NA,NA,NA
