coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,dynamics_2021
1,LTER1,BR,P1,Acr,0.05,7,55,8,2.6,7.3,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,LTER1,BR,P1,Poc,0.75,65,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.2,1.7,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,LTER1,BR,P1,Poc,0.9,60,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,LTER1,BR,P1,Poc,0.95,45,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,3.5,HSL,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,LTER1,BR,P1,Poc,0.95,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,1.5,HSL,NA,NA,NA
6,LTER1,BR,P1,Poc,1,100,10,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,2,1.1,1.1,MK,R,NA,Recruitment,2.5,2.3,2,EW,NA,NA,NA,NA,NA,NA,HSL,D,D,Death,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,LTER1,BR,P1,Poc,1,33,30,2.7,2,2.1,MK,R,NA,Recruitment,3,3.2,2.9,MK,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,LTER1,BR,P1,Poc,1,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
9,LTER1,BR,P1,Poc,1.02,32,29,0.5,0.4,0.4,MK,R,NA,Recruitment,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,LTER1,BR,P1,Poc,1.05,75,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,2,HSL,NA,R,Recruitment,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
