coral_number,site,habitat,transect,taxa,x,y,z,L23,W23,H23,Dyn23,L24,W24,H24,Notes_2024
2,LTER1,BR,P01,Por,0.4,95,10,10,10,10.5,Shrinkage,NA,NA,NA,NA
4,LTER1,BR,P01,Poc,0.9,15,30,3.5,3.2,3.3,Recruitment,NA,NA,NA,NA
16,LTER1,BR,P01,Poc,1.52,35,30,2.3,1.7,1.2,Recruitment,NA,NA,NA,NA
19,LTER1,BR,P01,Poc,1.7,9,13,4.2,3.2,3.2,Recruitment,NA,NA,NA,NA
24,LTER1,BR,P01,Poc,1.77,11,13,3.7,2.3,3.2,Recruitment,NA,NA,NA,NA
25,LTER1,BR,P01,Poc,1.8,8,8,2.8,2.6,2.6,Recruitment,NA,NA,NA,NA
26,LTER1,BR,P01,Poc,1.8,26,18,1.6,1,1.2,Recruitment,NA,NA,NA,NA
27,LTER1,BR,P01,Poc,1.85,23,16,2.6,2.1,2.4,Recruitment,NA,NA,NA,NA
30,LTER1,BR,P01,Poc,2,40,0,20.7,16.5,12,Shrinkage,NA,NA,NA,NA
34,LTER1,BR,P01,Por,2.25,65,40,75.7,45,80,Growth,NA,NA,NA,NA
35,LTER1,BR,P01,Por,2.3,36,10,8.3,7.8,8.3,Growth,NA,NA,NA,NA
46,LTER1,BR,P01,Poc,3.28,63,64,5.3,3.8,4.7,Recruitment,NA,NA,NA,NA
68,LTER1,BR,P01,Acr,6.38,84,22,3,3.3,1.1,Recruitment,NA,NA,NA,NA
70,LTER1,BR,P01,Por,6.53,24,13,41.7,35.8,22.3,Growth,NA,NA,NA,NA
75,LTER1,BR,P01,Poc,7.2,50,20,44,30.8,24.3,Shrinkage,NA,NA,NA,NA
80,LTER1,BR,P01,Poc,7.39,76,55,2.8,1.8,2.3,Recruitment,NA,NA,NA,NA
81,LTER1,BR,P01,Poc,7.4,73,50,4.1,2.6,2.5,Recruitment,NA,NA,NA,NA
82,LTER1,BR,P01,Poc,7.5,50,50,4.3,2.8,4,Recruitment,NA,NA,NA,NA
83,LTER1,BR,P01,Poc,7.55,72,28,4,2.5,2.2,Recruitment,NA,NA,NA,NA
86,LTER1,BR,P01,Poc,8.25,20,30,4.7,3.7,5.1,Recruitment,NA,NA,NA,NA
87,LTER1,BR,P01,Por,8.4,75,50,90.4,66,32.3,Missing Data,NA,NA,NA,NA
94,LTER1,BR,P01,Acr,9.15,93,80,5,4,4.2,Recruitment,NA,NA,NA,NA
97,LTER1,BR,P01,Poc,9.77,29,36,1.6,1.8,2,Recruitment,NA,NA,NA,NA
98,LTER1,BR,P01,Poc,9.77,25,40,4.1,4,4,Recruitment,NA,NA,NA,NA
101,LTER1,BR,P10,Por,0.1,90,30,60,55,50,Growth,NA,NA,NA,NA
108,LTER1,BR,P02,Por,0.35,82,10,118,48,46,Growth,NA,NA,NA,NA
110,LTER1,BR,P02,Poc,0.55,2,2,3.2,3.2,2,Recruitment,NA,NA,NA,NA
