site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
LTER1,BR,P01,Por,0.4,95,10,2024,11.9,8,12.3,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,0.9,15,30,2024,5.9,5.7,4.7,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,1.52,35,30,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P01,Poc,1.7,9,13,2024,6.3,4.3,4.5,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,1.77,11,13,2024,7.1,6.3,5.2,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,1.8,8,8,2024,2,1.6,2,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,1.8,26,18,2024,3.5,3.3,3.3,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,1.85,23,16,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P01,Poc,2,40,0,2024,7.9,2.8,4,TBD,"NA, Growth",NA
LTER1,BR,P01,Por,2.25,65,40,2024,78.1,52.1,55.8,TBD,"NA, Growth",NA
LTER1,BR,P01,Por,2.3,36,10,2024,2,0.9,1.3,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,3.28,63,64,2024,7.4,6,5.7,TBD,"NA, Growth",NA
LTER1,BR,P01,Acr,6.38,84,22,2024,7,3.8,4.7,TBD,"NA, Growth",NA
LTER1,BR,P01,Por,6.53,24,13,2024,41.7,6.9,7.3,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,7.2,50,20,2024,32.6,22,22.7,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,7.39,76,55,2024,6.5,4.4,4.6,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,7.4,73,50,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P01,Poc,7.5,50,50,2024,5.7,3.5,4,TBD,"NA, Growth",NA
LTER1,BR,P01,Poc,7.55,72,28,2024,NA,NA,NA,TBD,"NA, Dead",NA
LTER1,BR,P01,Poc,8.25,20,30,2024,5.5,5.7,4.9,TBD,"NA, Growth",NA
LTER1,BR,P01,Por,8.4,75,50,2024,104,36.7,31.5,TBD,"NA, Growth",NA
LTER1,BR,P01,Acr,9.15,93,80,2024,6.5,4.5,5.9,TBD,"A. hyacynthus, Growth",NA
LTER1,BR,P01,Poc,9.77,29,36,2024,8.2,6.5,6.2,TBD,"NA, Growth",NA
