coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra,fusion_group,fission_group,growth_ratio,dynamics
4349,LTER4,BR,P09,Por,5.8,10,5,2019,D,D,D,JG,D,"""Fission""",NA,NA,NA,"death,fission"
6114,LTER5,BR,P05,Por,6,60,20,2019,D,D,D,HSL,D,"""fission all small""",NA,NA,NA,"death,fission"
467,LTER1,BR,T01,Poc,0.05,33,50,2019,5,5.5,5,EW,D,D,NA,NA,1.7032967032967037,"death,growth"
924,LTER1,BR,T03,Poc,2.88,52,65,2019,33.700000000000003,30.2,19.5,HSL,D,UK,NA,NA,1.2086956521739132,"death,growth"
932,LTER1,BR,T03,Acr,2.97,75,52,2019,11.5,10,6.5,HSL,D,UK,NA,NA,1.25,"death,growth"
1244,LTER1,OR,T01,Acr,0.02,58,0,2019,4,2.5,3.5,Na,D,Na,NA,NA,1.2195121951219514,"death,growth"
1247,LTER1,OR,T01,Poc,0.03,85,13,2019,22,14,22,UK,D,UK,NA,NA,1.037567084078712,"death,growth"
1269,LTER1,OR,T01,Poc,0.1,100,9,2019,27,24,18,Na,D,Na,NA,NA,1.5646258503401362,"death,growth"
1485,LTER1,OR,T02,Poc,0,36,0,2019,2.2999999999999998,2.2999999999999998,1.5,Na,D,Na,NA,NA,1.1090909090909091,"death,growth"
1533,LTER1,OR,T02,Acr,0.4,71,15,2019,12,6,10,Na,D,Na,NA,NA,1.0980392156862746,"death,growth"
1614,LTER1,OR,T02,Acr,3.78,96,9,2019,17,15,16,Na,D,Na,NA,NA,1.0526315789473684,"death,growth"
1621,LTER1,OR,T02,Acr,4.9,86,5,2019,15,9,7,Na,D,Na,NA,NA,1.0032362459546924,"death,growth"
1641,LTER1,OR,T03,Poc,0.02,98,8,2019,37.200000000000003,33.5,28,Na,D,Na,NA,NA,1.0728260869565218,"death,growth"
1647,LTER1,OR,T03,Poc,0.05,74,3,2019,27.7,19.899999999999999,19.899999999999999,Na,D,Na,NA,NA,1.1120263591433277,"death,growth"
1652,LTER1,OR,T03,Poc,0.09,7,15,2019,34.299999999999997,33.200000000000003,31,Na,D,Na,NA,NA,1.0753275109170306,"death,growth"
1654,LTER1,OR,T03,Poc,0.13,86,7,2019,22.5,21.9,21.1,Na,D,Na,NA,NA,1.0844370860927153,"death,growth"
1655,LTER1,OR,T03,Acr,0.15,32,5,2019,14.2,9.3000000000000007,12.7,Na,D,Na,NA,NA,1.0870870870870872,"death,growth"
1656,LTER1,OR,T03,Acr,0.16,16,3,2019,31.4,29.5,21.6,Na,D,Na,NA,NA,1.064516129032258,"death,growth"
1657,LTER1,OR,T03,Poc,0.16,24,13,2019,37,29.2,31,Na,D,Na,NA,NA,1.0318471337579618,"death,growth"
1660,LTER1,OR,T03,Acr,0.18,17,0,2019,15.3,18.8,12.7,Na,D,Na,NA,NA,1.3684210526315788,"death,growth"
1661,LTER1,OR,T03,Poc,0.19,29,9,2019,29.5,30.5,23.6,Na,D,Na,NA,NA,1.0857142857142856,"death,growth"
1667,LTER1,OR,T03,Poc,0.24,3,15,2019,33.200000000000003,32.1,21.7,Na,D,Na,NA,NA,1.058394160583942,"death,growth"
1673,LTER1,OR,T03,Poc,0.29,10,11,2019,44.7,40.5,30.8,Na,D,Na,NA,NA,1.0497737556561086,"death,growth"
1684,LTER1,OR,T03,Poc,0.45,29,8,2019,25.3,23.5,20,Na,D,Na,NA,NA,1.1205211726384363,"death,growth"
1698,LTER1,OR,T03,Poc,0.63,12,12,2019,31.5,33.200000000000003,16,Na,D,Na,NA,NA,1.070291777188329,"death,growth"
1699,LTER1,OR,T03,Poc,0.64,20,10,2019,29,22.6,20.5,Na,D,Na,NA,NA,1.1230529595015577,"death,growth"
1700,LTER1,OR,T03,Poc,0.64,23,9,2019,10.6,17.2,15.8,EW,D,UK,NA,NA,1.10941475826972,"death,growth"
1702,LTER1,OR,T03,Poc,0.64,75,3,2019,33.700000000000003,28.8,18.8,Na,D,Na,NA,NA,1.1697841726618703,"death,growth"
1711,LTER1,OR,T03,Poc,0.7,96,14,2019,35.200000000000003,29.8,26.5,Na,D,Na,NA,NA,1.1567635903919091,"death,growth"
1732,LTER1,OR,T03,Poc,0.85,39,11,2019,29.5,29,22.2,Na,D,Na,NA,NA,1.1009549795361528,"death,growth"
1743,LTER1,OR,T03,Poc,0.93,45,6,2019,28,22.6,21.4,Na,D,Na,NA,NA,1.2,"death,growth"
1748,LTER1,OR,T03,Poc,0.97,42,8,2019,36.299999999999997,31.8,26.8,Na,D,Na,NA,NA,1.0784090909090909,"death,growth"
1753,LTER1,OR,T03,Poc,0.97,78,9,2019,32.5,33.200000000000003,12.8,Na,D,Na,NA,NA,1.0709413369713507,"death,growth"
1756,LTER1,OR,T03,Poc,1,30,7,2019,29.9,28.7,18.8,Na,D,Na,NA,NA,1.148367952522255,"death,growth"
1764,LTER1,OR,T03,Acr,2.53,92,4,2019,19.5,13.5,13.5,Na,D,Na,NA,NA,1.0592255125284735,"death,growth"
1767,LTER1,OR,T03,Acr,3.72,36,12,2019,24.5,21,25.3,Na,D,Na,NA,NA,1.0662650602409638,"death,growth"
1780,LTER1,OR,T04,Poc,0.02,100,5,2019,42.7,39.6,29.3,Na,D,Na,NA,NA,1.0508474576271187,"death,growth"
1783,LTER1,OR,T04,Poc,0.05,90,3,2019,25.3,24,22.7,Na,D,Na,NA,NA,1.0588235294117647,"death,growth"
1799,LTER1,OR,T04,Poc,0.17,99,10,2019,11.8,10.1,8.3000000000000007,Na,D,Na,NA,NA,1.208,"death,growth"
1806,LTER1,OR,T04,Poc,0.21,36,7,2019,17,17.100000000000001,13.2,Na,D,Na,NA,NA,1.112941176470588,"death,growth"
1812,LTER1,OR,T04,Poc,0.23,97,0,2019,17.5,12,12.5,Na,D,Na,NA,NA,1.189801699716714,"death,growth"
1917,LTER1,OR,T04,Poc,0.89,30,6,2019,19.5,19,12.7,Na,D,Na,NA,NA,1.098712446351931,"death,growth"
1932,LTER1,OR,T04,Poc,0.95,78,9,2019,31.5,30.2,30.7,Na,D,Na,NA,NA,1.0547945205479454,"death,growth"
1938,LTER1,OR,T04,Poc,0.97,39,3,2019,23.1,19.2,13.7,Na,D,Na,NA,NA,1.1177644710578845,"death,growth"
1943,LTER1,OR,T04,Poc,1,86,7,2019,36.200000000000003,28.2,25.7,Na,D,Na,NA,NA,1.2208672086720866,"death,growth"
1948,LTER1,OR,T04,Acr,1.96,90,8,2019,30.5,26.5,16,Na,D,Na,NA,NA,1.1459968602825743,"death,growth"
1950,LTER1,OR,T04,Acr,2.45,30,0,2019,9,5.7,6,Na,D,Na,NA,NA,1.29375,"death,growth"
1953,LTER1,OR,T04,Acr,3.55,65,0,2019,5,6.1,2.5,Na,D,Na,NA,NA,1.4020618556701032,"death,growth"
1955,LTER1,OR,T04,Acr,3.67,76,7,2019,10,8.5,9,Na,D,Na,NA,NA,1.1224489795918366,"death,growth"
1957,LTER1,OR,T04,Acr,3.77,87,0,2019,9.5,9,9.6999999999999993,Na,D,Na,NA,NA,1.1652892561983472,"death,growth"
2169,LTER2,BR,P05,Acr,3.2,55,70,2019,12,9.5,7,JG,D,UK,NA,NA,2.0652173913043477,"death,growth"
2170,LTER2,BR,P05,Acr,3.2,56,69,2019,7,7,5,JG,D,UK,NA,NA,4.222222222222222,"death,growth"
2171,LTER2,BR,P05,Acr,3.2,56,70,2019,18,18,25,JG,D,UK,NA,NA,1.1730769230769231,"death,growth"
2172,LTER2,BR,P05,Acr,3.2,60,70,2019,31,18,10,JG,D,UK,NA,NA,1.156862745098039,"death,growth"
2173,LTER2,BR,P05,Acr,3.2,77,70,2019,18,9,3,JG,D,UK,NA,NA,3,"death,growth"
2221,LTER2,BR,P07,Acr,7.55,60,80,2019,62,48,15,JG,D,UK,NA,NA,1.2626262626262623,"death,growth"
2260,LTER2,BR,P09,Acr,8.4,40,30,2019,10,7,6,JG,D,UK,NA,NA,1.07981220657277,"death,growth"
3208,LTER2,OR,T01,Poc,0.75,26,7,2019,12,9,9,HSL,D,Na,NA,NA,1.1320754716981132,"death,growth"
3239,LTER2,OR,T01,Acr,1.06,5,11,2019,25.5,18.5,18,HSL,D,Na,NA,NA,1.1900191938579654,"death,growth"
3271,LTER2,OR,T01,Acr,4.65,28,7,2019,23,17.5,16.8,Na,D,Na,NA,NA,1.287640449438202,"death,growth"
3381,LTER2,OR,T03,Acr,0.04,17,7,2019,17,15,8,Na,D,Na,NA,NA,2.1052631578947367,"death,growth"
3989,LTER4,BR,P02,Poc,4.24,80,80,2019,4.3,3.7,3.4,JG,D,Gone,NA,NA,2.150943396226415,"death,growth"
3991,LTER4,BR,P02,Poc,4.35,75,9,2019,5,3.7,4.0999999999999996,JG,D,D,NA,NA,3.764705882352941,"death,growth"
3998,LTER4,BR,P02,Poc,4.85,85,56,2019,9,7.4,5.5,JG,D,Gone,NA,NA,1.1347150259067356,"death,growth"
4117,LTER4,BR,P03,Acr,6.5,32,30,2019,11,12,12,JG,D,UK,NA,NA,1.4957264957264955,"death,growth"
4142,LTER4,BR,P05,Por,0,50,12,2019,110,96,64,JG,D,D,NA,NA,1.1946902654867255,"death,growth"
4158,LTER4,BR,P05,Acr,3.8,81,70,2019,11,6,8,JG,D,UK,NA,NA,1.9230769230769231,"death,growth"
4159,LTER4,BR,P05,Acr,3.81,80,69,2019,5.2,5,6,JG,D,UK,NA,NA,3.115384615384615,"death,growth"
4160,LTER4,BR,P05,Acr,3.81,81,68,2019,5,5,3,JG,D,UK,NA,NA,2.888888888888889,"death,growth"
4174,LTER4,BR,P05,Acr,4.63,25,40,2019,9.6,9,3,JG,D,UK,NA,NA,2.273684210526316,"death,growth"
4178,LTER4,BR,P05,Acr,5.05,16,20,2019,11.7,9.1999999999999993,6.5,JG,D,UK,NA,NA,1.4421052631578946,"death,growth"
4232,LTER4,BR,P06,Acr,4,70,30,2019,10,8,4,JG,D,UK,NA,NA,1.2941176470588236,"death,growth"
4237,LTER4,BR,P06,Acr,4.5,80,30,2019,20.100000000000001,9,3,JG,D,UK,NA,NA,2.9181818181818184,"death,growth"
4246,LTER4,BR,P06,Acr,5.55,40,100,2019,10,9,4.5,JG,D,UK,NA,NA,1.8076923076923077,"death,growth"
4247,LTER4,BR,P06,Acr,5.6,40,100,2019,12.5,11,5.3,JG,D,UK,NA,NA,1.6457142857142857,"death,growth"
4249,LTER4,BR,P06,Acr,5.8,40,100,2019,9.5,7.5,7,JG,D,UK,NA,NA,2.474226804123711,"death,growth"
4250,LTER4,BR,P06,Acr,5.9,30,100,2019,4,5.2,4.5,JG,D,UK,NA,NA,3.914285714285714,"death,growth"
4261,LTER4,BR,P06,Acr,8.7,15,95,2019,21,10,14,JG,D,UK,NA,NA,1.0843373493975903,"death,growth"
4263,LTER4,BR,P06,Acr,8.8,50,100,2019,10,4.5,3.9,JG,D,UK,NA,NA,1.84,"death,growth"
4309,LTER4,BR,P08,Acr,0.3,60,20,2019,9.5,9,8.8000000000000007,JG,D,UK,NA,NA,1.5423728813559323,"death,growth"
4379,LTER4,BR,P09,Acr,8.14,51,65,2019,24,13,10,JG,D,UK,NA,NA,1.1662531017369728,"death,growth"
4645,LTER4,BR,T01,Poc,2.4,25,5,2019,5,5.6,5,EW,D,UK,NA,NA,1.4716981132075473,"death,growth"
5335,LTER4,OR,T01,Acr,0.3,13,12,2019,24.3,21.5,14.7,HSL,D,UK,NA,NA,1.2604166666666667,"death,growth"
5398,LTER4,OR,T01,Acr,1.05,24,20,2019,4,4.5,4,HSL,D,UK,NA,NA,1.6233766233766236,"death,growth"
5404,LTER4,OR,T01,Acr,1.6,97,7,2019,25,23.5,11.5,HSL,D,UK,NA,NA,1.1070110701107012,"death,growth"
5407,LTER4,OR,T01,Acr,2.41,40,7,2019,29.7,28.8,19,HSL,D,UK,NA,NA,1.3247863247863247,"death,growth"
5410,LTER4,OR,T01,Acr,2.7,48,0,2019,15,10,7,HSL,D,UK,NA,NA,1.28,"death,growth"
5415,LTER4,OR,T01,Acr,3.2,25,5,2019,12.5,11.5,9.5,HSL,D,UK,NA,NA,1.3786008230452675,"death,growth"
5437,LTER4,OR,T01,Acr,4.82,81,6,2019,25,18,24,HSL,D,UK,NA,NA,1.1611785095320624,"death,growth"
5438,LTER4,OR,T01,Acr,4.85,95,20,2019,7,7,5,HSL,D,UK,NA,NA,1.484375,"death,growth"
5443,LTER4,OR,T02,Acr,0,40,0,2019,9,8,7,EW,D,UK,NA,NA,1.355932203389831,"death,growth"
5444,LTER4,OR,T02,Acr,0,65,0,2019,5,3.5,3,EW,D,UK,NA,NA,1.6666666666666663,"death,growth"
5538,LTER4,OR,T02,Acr,1.1,7,0,2019,12,10,9,EW,D,UK,NA,NA,1.319148936170213,"death,growth"
5542,LTER4,OR,T02,Acr,1.15,60,0,2019,13,10,9,EW,D,UK,NA,NA,1.5841584158415842,"death,growth"
5547,LTER4,OR,T02,Acr,1.39,45,0,2019,7,7,4,EW,D,UK,NA,NA,1.3846153846153846,"death,growth"
5558,LTER4,OR,T02,Acr,2.1,50,0,2019,12,12,10,EW,D,UK,NA,NA,1.3076923076923077,"death,growth"
5565,LTER4,OR,T02,Acr,2.56,0,0,2019,5,7,6,EW,D,UK,NA,NA,1.6363636363636365,"death,growth"
5590,LTER4,OR,T02,Acr,4.23,65,2.4,2019,22,15,16,EW,D,UK,NA,NA,1.2709832134292565,"death,growth"
5687,LTER4,OR,T03,Acr,1.8,30,0,2019,3,3.1,9,HSL,D,UK,NA,NA,1.6777777777777778,"death,growth"
5721,LTER4,OR,T03,Acr,4.53,79,3,2019,29,28,100,HSL,D,UK,NA,NA,8.971428571428572,"death,growth"
5722,LTER4,OR,T03,Acr,4.57,85,3,2019,17,15,13,HSL,D,UK,NA,NA,1.40625,"death,growth"
6075,LTER5,BR,P03,Acr,5.4,40,80,2019,21.5,18.8,9.5,HSL,D,D,NA,NA,1.267175572519084,"death,growth"
6140,LTER5,BR,P06,Acr,9.01,90,0,2019,18.100000000000001,11.5,10.199999999999999,HSL,D,D,NA,NA,3.431034482758621,"death,growth"
6166,LTER5,BR,P08,Acr,5.6,40,20,2019,53.2,39.5,23.5,HSL,D,D,NA,NA,1.0859813084112149,"death,growth"
6586,LTER5,BR,T02,Acr,0.93,56,60,2019,10,9.5,9,EW,D,UK,NA,NA,1.021505376344086,"death,growth"
7099,LTER5,OR,T01,Acr,2.05,51,7,2019,28,23,18,UK,D,UK,NA,NA,1.2545454545454546,"death,growth"
7154,LTER5,OR,T01,Acr,4.21,1,0,2019,8,7,6,UK,D,UK,NA,NA,1.2352941176470589,"death,growth"
7163,LTER5,OR,T01,Acr,4.67,1,0,2019,11,8,7,UK,D,UK,NA,NA,1.003861003861004,"death,growth"
7195,LTER5,OR,T02,Poc,0.32,5,2,2019,14,9,10,UK,D,UK,NA,NA,1.4410480349344978,"death,growth"
7229,LTER5,OR,T02,Acr,0.78,65,1,2019,9,6,6,UK,D,UK,NA,NA,1.0606060606060606,"death,growth"
7250,LTER5,OR,T02,Acr,1.38,91,10,2019,24,23,14,UK,D,UK,NA,NA,1.2603305785123966,"death,growth"
7274,LTER5,OR,T02,Acr,2.85,74,4,2019,9,8,6,UK,D,UK,NA,NA,1.0599078341013826,"death,growth"
7374,LTER5,OR,T03,Acr,0.5,50,0,2019,12,9.9,10.5,HSL,D,UK,NA,NA,1.10580204778157,"death,growth"
7410,LTER5,OR,T03,Poc,0.85,84,8,2019,16.5,8,6.5,HSL,D,UK,NA,NA,1.4832535885167466,"death,growth"
7421,LTER5,OR,T03,Acr,0.95,67,0,2019,13,11,6.6,HSL,D,UK,NA,NA,2.508196721311476,"death,growth"
7434,LTER5,OR,T03,Acr,1.35,15,0,2019,13,11.9,8,HSL,D,UK,NA,NA,1.1114864864864864,"death,growth"
7438,LTER5,OR,T03,Acr,1.59,60,0,2019,12,15,8,HSL,D,UK,NA,NA,1.282051282051282,"death,growth"
7441,LTER5,OR,T03,Acr,1.7,12,5,2019,31,20,14,HSL,D,UK,NA,NA,1.0301109350237718,"death,growth"
7461,LTER5,OR,T03,Acr,3.45,97,0,2019,12,6,5,HSL,D,UK,NA,NA,1.1855670103092784,"death,growth"
7534,LTER5,OR,T03_PRE2020,Acr,1.25,10,3,2019,15.3,9.9,9,HSL,D,UK,NA,NA,1.6764705882352944,"death,growth"
7535,LTER5,OR,T03_PRE2020,Acr,1.27,63,30,2019,13.5,13,9.5,HSL,D,UK,NA,NA,1.343283582089552,"death,growth"
7537,LTER5,OR,T03_PRE2020,Acr,1.45,20,5,2019,36,30.5,11.1,HSL,D,UK,NA,NA,1.06155950752394,"death,growth"
7548,LTER5,OR,T03_PRE2020,Acr,3.33,68,0,2019,11.3,14,8,HSL,D,UK,NA,NA,2.08125,"death,growth"
7551,LTER5,OR,T03_PRE2020,Acr,3.5,69,5,2019,27,19,15,HSL,D,UK,NA,NA,1.314655172413793,"death,growth"
7558,LTER5,OR,T03_PRE2020,Acr,5,58,0,2019,8.3000000000000007,7,3,HSL,D,UK,NA,NA,5.228571428571429,"death,growth"
104,LTER1,BR,P10,Acr,2.84,22,22,2019,19,12,15,EW,D,UK,NA,NA,0.8214285714285714,"death,shrinkage"
398,LTER1,BR,P05,Acr,1.2,20,43,2019,38,27,15,EW,D,UK,NA,NA,0.963855421686747,"death,shrinkage"
472,LTER1,BR,T01,Acr,0.09,43,55,2019,12,7,7.5,Na,D,Na,NA,NA,0.99250936329588,"death,shrinkage"
1534,LTER1,OR,T02,Acr,0.4,73,12,2019,6,7,4,Na,D,Na,NA,NA,0.7906976744186046,"death,shrinkage"
1601,LTER1,OR,T02,Poc,0.99,78,3,2019,24,14,9,EW,D,Na,NA,NA,0.8392857142857143,"death,shrinkage"
1623,LTER1,OR,T02,Acr,4.9,100,4,2019,12,9,9,Na,D,Na,NA,NA,0.8450704225352113,"death,shrinkage"
