coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra,first_instance,dyn_death,dyn_recruitment,dyn_missing_data,dyn_fusion,fusion_group,dyn_fission,fission_group,growth_ratio,dyn_growth,dyn_shrinkage,dyn_immigration,dyn_emigration,dyn_edge
8,LTER1,BR,P01,Poc,1,33,30,2013,2.7,2,2.1,MK,R,NA,TRUE,0,1,0,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2014,3,3.2,2.9,MK,UK,NA,TRUE,0,1,0,0,NA,0,NA,1.338235294117647,1,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2015,D,D,D,MK,D,NA,FALSE,1,0,0,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2016,Na,Na,Na,Na,Na,NA,TRUE,0,0,0,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2017,Na,Na,Na,Na,Na,NA,TRUE,0,0,0,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2018,Na,Na,Na,Na,NA,Na,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2019,Na,Na,Na,Na,Na,Na,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2020,Na,Na,Na,Na,Na,Na,TRUE,0,0,0,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2021,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2022,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
8,LTER1,BR,P01,Poc,1,33,30,2023,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2013,UK,UK,UK,UK,UK,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2014,UK,UK,UK,UK,UK,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2015,UK,UK,UK,UK,UK,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2016,UK,UK,UK,UK,UK,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2017,UK,UK,UK,UK,UK,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2018,UK,UK,UK,UK,NA,UK,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2019,UK,UK,UK,UK,UK,UK,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2020,3,2,2,UK,UK,UK,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2021,D,D,D,HSL,D,NA,FALSE,1,0,0,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2022,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
9,LTER1,BR,P01,Poc,1,70,8,2023,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2013,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2014,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2015,Na,Na,Na,MK,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2016,2,1.1000000000000000,1.1000000000000000,MK,R,NA,FALSE,0,1,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2017,2.5,2.3000000000000000,2,EW,UK,NA,FALSE,0,0,0,0,NA,0,NA,1.6190476190476188,1,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2018,D,D,D,HSL,NA,D,FALSE,1,0,0,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2019,Na,Na,Na,Na,Na,Na,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2020,Na,Na,Na,Na,Na,Na,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2021,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2022,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
10,LTER1,BR,P01,Poc,1,100,10,2023,Na,Na,Na,Na,Na,NA,FALSE,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
